name,description,shortName,ISO,ISO2,nameISO,uoaType,visibility,status,langId,parentId,gadmId0,gadmId1,gadmId2,gadmId3,gadmObjectId,HASK
Bahrain,Region: Western Asia (Asia); WB:  - High income: nonOECD - Debt not classified,Bahrain,BHR,BH,BAHRAIN
Bangladesh,Region: Southern Asia (Asia); WB: South Asia - Low income - Less indebted,Bangladesh,BGD,BD,BANGLADESH
Barbados,Region: Caribbean (Americas); WB: Latin America & Caribbean - Upper middle income - Less indebted,Barbados,BRB,BB,BARBADOS
Belarus,Region: Eastern Europe (Europe); WB: Europe & Central Asia - Lower middle income - Less indebted,Belarus,BLR,BY,BELARUS
Belgium,Region: Western Europe (Europe); WB: .. - High income: OECD - Debt not classified,Belgium,BEL,BE,BELGIUM
Belize,Region: Central America (Americas); WB: Latin America & Caribbean - Upper middle income - Severely indebted,Belize,BLZ,BZ,BELIZE
Benin,Region: Western Africa (Africa); WB: Sub-Saharan Africa - Low income - Moderately indebted,Benin,BEN,BJ,BENIN
